"항목","가계수지항목별",2019.1/4,2019.2/4,2019.3/4,2019.4/4,2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4
"전체가구","가구원수 (명)",2.42,2.41,2.42,2.42,2.40,2.40,2.40,2.39,2.37,2.37,2.37,2.36,2.33,2.33,2.33
"전체가구","가구주연령 (세)",52.20,52.15,52.03,52.08,52.43,52.42,52.46,52.47,52.84,52.66,52.62,52.67,52.35,52.30,52.27
"전체가구","소득",4271911,4168865,4301979,4284972,4366070,4315385,4377301,4361723,4383813,4286962,4728905,4642311,4825037,4831061,4868667
"전체가구","가계지출",3458752,3191378,3386671,3287733,3264129,3181429,3284260,3227499,3291618,3308279,3499828,3405845,3495914,3507630,3720713
"전체가구","소비지출",2544919,2357094,2467777,2464541,2379576,2385004,2426415,2407610,2418703,2475079,2544163,2546841,2531308,2619402,2702345
"근로자가구","가구원수 (명)",2.61,2.56,2.56,2.55,2.53,2.52,2.52,2.49,2.49,2.48,2.47,2.47,2.44,2.43,2.43
"근로자가구","가구주연령 (세)",46.71,47.60,47.17,47.30,47.13,47.40,47.37,47.62,47.50,48.42,48.17,47.81,47.08,47.65,47.86
"근로자가구","소득",5219758,4890840,5009750,4834230,5276492,5032809,5082240,4928143,5290038,5012008,5460932,5268864,5669470,5279701,5510040
"근로자가구","가계지출",4027578,3653718,3869950,3738516,3765720,3620515,3718166,3660373,3817542,3794599,3989555,3854925,4039838,3949409,4119250
"근로자가구","소비지출",2876669,2615437,2750911,2738476,2647195,2630463,2658150,2646977,2697192,2744442,2811703,2777341,2811123,2842954,2907617
"근로자외가구","가구원수 (명)",2.18,2.19,2.22,2.22,2.22,2.25,2.24,2.25,2.22,2.21,2.22,2.22,2.18,2.18,2.17
"근로자외가구","가구주연령 (세)",59.57,58.90,58.99,59.08,59.55,59.17,59.62,59.40,59.87,58.88,59.17,59.68,59.81,59.19,59.05
"근로자외가구","소득",3000893,3098305,3288868,3481096,3143146,3352037,3386126,3552108,3192094,3220820,3651827,3739680,3629796,4165507,3881281
"근로자외가구","가계지출",2695984,2505810,2694900,2627981,2590367,2591830,2674169,2608769,2600009,2593172,2779262,2758887,2726024,2852253,3107172
"근로자외가구","소비지출",2100058,1974017,2062496,2063618,2020097,2055405,2100584,2065469,2052480,2078995,2150514,2214775,2135249,2287763,2386331
